"","name","syllable.duration","syllable.start","syllable.end","mean.amplitude","mean.pitch","mean.FM","mean.AM.2","mean.entropy","mean.pitch.goodness","mean.mean.freq","var.pitch","var.FM","var.entropy","var.pitch.goodness","var.mean.freq","var.AM","month","day","hour","minute","second","cluster","file.name","comments"
"70","-","55.873","663.492",719.365,"30.2","525","34","-0.00167","-2.24","283.4","2091","711000","538","0.198654","50300","709000","0.00509","12","20","8","14","50","0","Yellow119_December_20_2013_29684562.wav","comments"
"71","-","58.8662","772.245",831.1112,"30.8","551","33.1","-0.00117","-2.61","396","2015","688000","891","0.48787","73000","754000","0.00666","12","20","8","14","50","0","Yellow119_December_20_2013_29684562.wav","comments"
"72","-","102.766","868.027",970.793,"40.4","630","41.5","-0.0009","-2.41","353.8","2545","1120000","475","0.312679","102500","754000","0.0049","12","20","8","14","50","0","Yellow119_December_20_2013_29684562.wav","comments"
"73","-","74.8299","990.748",1065.5779,"39.8","648","46","-0.00053","-2.42","292.5","2647","1321000","609","0.689423","52100","527000","0.00554","12","20","8","14","50","0","Yellow119_December_20_2013_29684562.wav","comments"
"74","-","139.683","1079.55",1219.233,"39.9","760","44.6","-0.00107","-1.81","361.4","2942","996000","652","0.352579","65300","717000","0.00144","12","20","8","14","50","0","Yellow119_December_20_2013_29684562.wav","comments"
"75","-","84.8073","1247.17",1331.9773,"45.9","1050","24.5","0.00042","-4.69","203.3","3057","2241000","787","0.974887","12500","180000","0.00253","12","20","8","14","50","0","Yellow119_December_20_2013_29684562.wav","comments"
"76","-","201.542","1333.97",1535.512,"39.7","1225","46.2","-0.00145","-2.8","178.5","3473","7530000","639","1.4838","12300","258000","0.00263","12","20","8","14","50","0","Yellow119_December_20_2013_29684562.wav","comments"
"77","-","72.8345","1760",1832.8345,"36.3","648","40.9","9e-05","-1.64","428","2340","1023000","776","0.14455","159200","746000","0.00605","12","20","8","14","50","0","Yellow119_December_20_2013_29684562.wav","comments"
"78","-","58.8662","1930.61",1989.4762,"32.7","551","26","-0.00196","-3.13","343.9","2167","500000","608","0.811999","30900","842000","0.00491","12","20","8","14","50","0","Yellow119_December_20_2013_29684562.wav","comments"
"79","-","95.7823","2015.42",2111.2023,"41.7","595","42.7","-0.0004","-2.44","379","2660","979000","588","0.215953","74200","734000","0.005","12","20","8","14","50","0","Yellow119_December_20_2013_29684562.wav","comments"
"80","-","73.8322","2134.15",2207.9822,"38.7","678","55.1","0.00011","-2.71","353","2766","1860000","517","0.809942","75400","958000","0.00555","12","20","8","14","50","0","Yellow119_December_20_2013_29684562.wav","comments"
"81","-","141.678","2221.95",2363.628,"41.4","735","43.2","-0.00118","-1.76","329.5","2851","1013000","669","0.275541","54000","709000","0.00141","12","20","8","14","50","0","Yellow119_December_20_2013_29684562.wav","comments"
"82","-","84.8073","2389.57",2474.3773,"47.4","1050","25.9","0","-4.57","207.9","3106","2326000","844","1.10429","11100","190000","0.00702","12","20","8","14","50","0","Yellow119_December_20_2013_29684562.wav","comments"
"83","-","209.524","2474.38",2683.904,"42.9","1102","44.3","-0.00159","-2.94","188.5","3379","7490000","699","1.70262","18900","282000","0.0011","12","20","8","14","50","0","Yellow119_December_20_2013_29684562.wav","comments"
"84","-","106.757","1842.81",1949.567,"36.7","630","17.9","3e-05","-2.71","565.6","2084","967000","584","0.648363","92200","38000","0.00761","12","20","8","15","6","0","Yellow119_December_20_2013_29691843.wav","comments"
"85","-","100.771","2164.08",2264.851,"36.8","668","18.2","4e-05","-3.03","530.3","2047","835000","649","0.542403","93800","808000","0.00787","12","20","8","15","6","0","Yellow119_December_20_2013_29691843.wav","comments"
"86","-","55.873","2369.61",2425.483,"30.9","551","34.9","-0.00191","-2.39","402.7","2179","345000","681","0.816742","76600","870000","0.00555","12","20","8","15","6","0","Yellow119_December_20_2013_29691843.wav","comments"
"87","-","63.8549","2484.35",2548.2049,"30.6","525","30.1","-0.0011","-2.31","325.4","2276","732000","629","0.374383","28800","758000","0.00596","12","20","8","15","6","0","Yellow119_December_20_2013_29691843.wav","comments"
"88","-","67.8458","2610.07",2677.9158,"32.5","537","33.2","-0.00108","-2.72","377.8","2359","493000","618","0.600808","71400","716000","0.00507","12","20","8","15","6","0","Yellow119_December_20_2013_29691843.wav","comments"
"89","-","98.7755","2697.87",2796.6455,"42.4","595","42.3","-0.00106","-2.21","364.7","2547","891000","714","0.217457","69300","402000","0.00659","12","20","8","15","6","0","Yellow119_December_20_2013_29691843.wav","comments"
"90","-","80.8163","2813.61",2894.4263,"38.7","678","55.4","-0.0002","-2.67","300.3","2589","1328000","515","1.04974","36700","600000","0.0055","12","20","8","15","6","0","Yellow119_December_20_2013_29691843.wav","comments"
"91","-","139.683","2906.39",3046.073,"41.9","735","44.1","-0.00086","-1.87","302.3","3123","1055000","580","0.277654","39000","115000","0.00137","12","20","8","15","6","0","Yellow119_December_20_2013_29691843.wav","comments"
"92","-","84.8073","3070.02",3154.8273,"45.4","1102","28.5","0.0006","-4.28","288","3051","2089000","863","0.855722","49000","228000","0.00313","12","20","8","15","6","0","Yellow119_December_20_2013_29691843.wav","comments"
"93","-","209.524","3153.83",3363.354,"42.8","1225","48.4","-0.00163","-3.13","199","3277","7331000","585","1.69466","17300","291000","0.00133","12","20","8","15","6","0","Yellow119_December_20_2013_29691843.wav","comments"
"94","-","60.8617","3555.92",3616.7817,"33.7","537","37.5","-0.0015","-2.97","322.8","2345","969000","607","0.828313","63500","915000","0.00474","12","20","8","15","6","0","Yellow119_December_20_2013_29691843.wav","comments"
"95","-","100.771","3643.72",3744.491,"42.9","621","45.9","-0.00092","-2.23","374.7","2556","752000","728","0.288941","91000","639000","0.0067","12","20","8","15","6","0","Yellow119_December_20_2013_29691843.wav","comments"
"96","-","75.8277","3760.45",3836.2777,"38.9","689","56.2","0.00024","-2.4","362.5","2686","1760000","426","1.08069","106800","546000","0.00613","12","20","8","15","6","0","Yellow119_December_20_2013_29691843.wav","comments"
"97","-","139.683","3852.24",3991.923,"42.6","711","47.8","-0.00052","-1.69","386.4","3066","1196000","594","0.192649","78800","100000","0.00165","12","20","8","15","6","0","Yellow119_December_20_2013_29691843.wav","comments"
"98","-","84.8073","4013.88",4098.6873,"46.7","1102","22.6","0.00071","-4.57","193.8","2998","2026000","758","0.833212","10700","277000","0.00626","12","20","8","15","6","0","Yellow119_December_20_2013_29691843.wav","comments"
"99","-","211.519","4100.68",4312.199,"43.9","1102","47.4","-0.00159","-2.98","219.2","3319","7231000","555","1.63855","25700","274000","0.00099","12","20","8","15","6","0","Yellow119_December_20_2013_29691843.wav","comments"
"100","-","49.8866","4948.75",4998.6366,"30.7","551","42.9","-0.0012","-2.11","415","2272","1051000","582","0.180604","112800","729000","0.00479","12","20","8","15","6","0","Yellow119_December_20_2013_29691843.wav","comments"
